date,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
2024-02-14 11:00:00,1,410.56,2.18,23.99,25.39,4.83,8.32,11.23,1.93
2024-02-15 11:00:00,2,520.71,11.18,26.39,28.61,6.91,17.35,21.22,4.02
2024-02-16 11:00:00,2,520.71,7.71,32.22,7.42,7.75,13.3,16.54,2.63
2024-02-17 11:00:00,2,453.95,4.36,27.08,60.08,7.99,10.41,15.63,2.98
2024-02-18 11:00:00,1,360.49,0.91,18.34,57.94,3.4,6.84,8.84,1.57
2024-02-19 11:00:00,1,447.27,2.37,27.08,36.12,6.2,9.23,11.62,2.63
2024-02-20 11:00:00,2,560.76,7.26,37.36,14.31,9.42,18.62,24.86,3.32
2024-02-21 11:00:00,1,390.53,1.54,21.08,39.34,4.23,9.74,12.9,2.6
2024-02-22 11:00:00,1,300.41,0.47,12,57.22,2.15,4.21,5.16,0.72
2024-02-23 11:00:00,1,310.42,1.09,11.31,57.22,2.56,3.15,4.43,1.71
2024-02-24 11:00:00,1,330.45,1.75,14.05,56.51,3.34,5.02,7.09,2.18
2024-02-25 11:00:00,1,320.43,0.85,13.54,50.78,2.47,3.66,4.78,1.19
2024-02-26 11:00:00,3,767.71,29.06,31.53,4.43,10.25,26.66,30.22,7.03
2024-02-27 11:00:00,2,480.65,4.81,33.59,23.96,8.11,20.95,23.34,5.45
2024-02-28 11:00:00,4,1188.28,58.11,46.61,10.91,17.88,63.04,80.9,5.32
2024-02-29 11:00:00,1,403.88,1.96,23.31,34.69,4.35,9.04,11.63,1.58
2024-03-01 11:00:00,2,293.73,1.27,8.83,70.1,1.86,2.7,4.38,1.77
2024-03-02 11:00:00,2,290.39,0.67,8.65,67.23,1.56,2.12,2.82,0.83
2024-03-03 11:00:00,3,614.17,8.05,46.61,27.89,10.85,27.24,31.27,3.77
2024-03-04 11:00:00,4,1068.12,54.99,41.13,17.52,12.4,57.49,73.82,5.51
2024-03-05 11:00:00,2,323.77,1.69,12.68,67.23,3.1,3.77,5.27,2.12
2024-03-06 11:00:00,3,907.9,22.8,67.17,3.4,17.4,41.51,45.95,10.39
2024-03-07 11:00:00,2,453.95,10.84,18.85,31.11,5.84,20.5,23.52,4.5
2024-03-08 11:00:00,2,383.85,4.36,17.31,55.07,4.11,17.18,19.66,5.07
2024-03-09 11:00:00,2,287.06,0.61,8.48,72.24,1.67,2.16,2.95,3.67
2024-03-10 11:00:00,3,854.49,31.29,43.53,4.87,12.52,34.26,42.87,4.62
2024-03-11 11:00:00,2,540.73,11.51,31.53,28.97,8.58,19.67,24.68,3.8
2024-03-12 11:00:00,2,480.65,4.19,25.7,31.11,5.01,13.87,16.62,1.85
2024-03-13 11:00:00,1,297.07,1.34,9.85,55.79,2.3,3.41,5.58,2.38
2024-03-14 11:00:00,3,687.6,23.69,35.3,27.18,10.85,27.4,35.82,4.43
2024-03-15 11:00:00,2,270.37,0.47,6.86,65.8,1.33,1.84,2.78,1.47
